id,name_en,name_pt,desc_en,desc_pt
barbarian,Barbarian,Bárbaro,"When resolving a Melee Action, the Survivor may substitute the Dice number of the Melee weapon(s) they use with the number of Zombies standing in their Zone. Skills affecting the dice value, like +1 Die: Melee, still apply","Ao resolver uma Ação Corpo a Corpo, o Sobrevivente pode substituir o número de Dados da(s) arma(s) Corpo a Corpo que estiver usando pelo número de Zumbis em sua Zona. Habilidades que afetam os valores dos dados, como +1 Dado: Corpo a Corpo, continuam valendo. OBSERVAÇÃO: um Sobrevivente só pode realizar 1 Ação da Guarda e 1 Ação de Procurar por Turno. Lembre-se: ações de Magia, Corpo a Corpo e de Longo Alcance são Ações de Combate."
battle_rage,Battle rage,Fúria de Batalha,The Survivor gains an extra die to roll for subsequent Melee Actions whenever they kill at least 1 Zombie with a Melee Action. The bonus is cumulative if the Survivor gets at least 1 Zombie kill in the subsequent Melee Actions and applies until the end of the Survivor’s Activation.,O Sobrevivente rola um dado extra em Ações Corpo a Corpo subsequentes sempre que matar pelo menos 1 Zumbi com uma Ação Corpo a Corpo. Esse bônus é cumulativo caso o Sobrevivente mate pelo menos 1 Zumbi nas Ações Corpo a Corpo subsequentes e se aplica até o final da Ativação do Sobrevivente.
birds_eye_view,Bird's-eye View,Visão Aérea,The Survivor may trace Lines Of Sight over buildings and Hedges to Zones beyond them. Line Of Sight cannot be traced into a building through walls or closed doors. The Survivor can use this special Line Of Sight to perform Attacks.,O Sobrevivente pode traçar Campos de Visão sobre construções e Sebes até Zonas além deles. O Campo de Visão não pode ser traçado dentro de uma construção atravessando paredes ou portas fechadas. O Sobrevivente pode usar esse Campo de Visão especial para realizar Ataques.
blitz,Blitz,Blitz,"Each time the Survivor kills the last Zombie in a Zone, he gets 1 free Move Action to use immediately.","Cada vez que o Sobrevivente mata o último Zumbi de uma Zona, ele ganha 1 Ação de Movimento grátis para usar imediatamente."
bloodlust_[action],Bloodlust: [Action],Sede de sangue: [Ação] / Louco por Sangue [Ação],"The Survivor can use this Skill once during each of their Turns. The Survivor spends 1 Action. Then, they Move up to 2 Zones to a Zone containing at least 1 Zombie. They then gain 1 free Action of the specified type (Combat, Magic, Melee, or Ranged). Normal Movement rules apply.","O Sobrevivente pode usar esta Habilidade uma vez em cada um de seus Turnos. O Sobrevivente gasta 1 Ação: ele se Move até 2 Zonas para uma Zona com, pelo menos, 1 Zumbi. Em seguida, ele ganha 1 Ação gratuita do tipo especificado (Combate, Magia, Corpo a Corpo ou Longo Alcance). As regras convencionais de Movimento se aplicam. "
born_leader,Born leader,Líder Nato,"During the Survivor’s Turn, the Survivor may give 1 free Action to another Survivor to use as they please. This Action is used immediately, then the Born leader Survivor resumes their Turn.","Durante o Turno do Sobrevivente, ele pode conceder 1 Ação gratuita para que outro Sobrevivente a use como desejar. Essa Ação gratuita é usada imediatamente. Depois, o Sobrevivente Líder Nato continua seu Turno. "
break_in,Break-in,Arrombar / Invasor,"In order to open doors, the Survivor rolls no dice, and needs no equipment (but still spends an Action to do so). He doesn’t make Noise while using this Skill. However, other prerequisites still apply (such as taking a designated Objective before a door can be opened). Moreover, the Survivor gains one extra free Action that can only be used to open doors.","O Sobrevivente não precisa rolar dados ou usar Equipamentos para abrir portas (mas ainda precisa gastar uma Ação). Ele não faz Barulho ao usar esta Habilidade. Porém, outros pré-requisitos ainda se aplicam (tais como pegar um determinado Objetivo antes que uma porta possa ser aberta). Além disso, o Sobrevivente ganha 1 Ação extra que pode ser usada apenas para abrir portas."
bridge_walker,Bridge Walker,,The Survivor can enter or exit a Bridge Zone through its sides (not only through its ends).,
brother_in_arms_[game_effect],Brother in Arms: [game effect],Irmão de Armas: [efeito de jogo] ,"The Survivor can use this Skill whenever they are standing in the same Zone as at least 1 other Survivor. As long as Brother in Arms is active, each Survivor in the Zone (including the one with this Skill) benefits from the indicated Skill or game effect. Guards do not benefit from this Skill. NOTE: Brother in Arms may be shortened to B.I.A.","O Sobrevivente pode usar essa Habilidade sempre que estiver em uma Zona com, pelo menos, 1 outro Sobrevivente. Enquanto Irmão de Armas estiver ativo, cada Sobrevivente na Zona (incluindo o que tem essa Habilidade) se beneficia da Habilidade ou efeito de jogo indicado. Guardas não se beneficiam dessa Habilidade. OBSERVAÇÃO: Irmão de Armas pode ser abreviado para IDA. "
can_search_more_than_once,Can Search More Than Once,Pode Procurar Mais de Uma Vez,"The Survivor can Search multiple times per Turn, spending 1 Action for each Search Action.","O Sobrevivente pode Procurar mais de uma vez a cada Turno, gastando 1 Ação para cada Ação de Procurar."
carries_kirag,Carries Kirag,Carrega Kirag,"Whenever you change Zones, Kirag moves to the same Zone","Sempre que trocar de Zona, Kirag se move para a mesma Zona."
charge,Charge,Carga / Atacar,The Survivor can use this Skill for free once during each of their Turns. They move up to 2 Zones to a Zone containing at least 1 Zombie. Normal Movement rules still apply. Entering a Zone containing Zombies still ends the Survivor’s Move Action.,"O Sobrevivente pode usar esta Habilidade uma vez em cada um de seus Turnos gratuitamente. Ele se Move até 2 Zonas para uma Zona com, pelo menos, 1 Zumbi. As regras convencionais de Movimento ainda se aplicam. Entrar em uma Zona com Zumbis ainda encerra a Ação de Movimento do Sobrevivente. "
choose_any_skill,Choose Any Skill,Escolha Qualquer Habilidade,"The player can choose any Skill from the current setting. If the chosen Skill features brackets (like +1 free [Action], for example) the player chooses the corresponding keyword.",O jogador pode escolher qualquer Habilidade do manual. Se a habilidade possuir especificações (como +1 [Ação] grátis por exemplo) o jogador escolhe conforme desejar.
chi_[skill],Chi [Skill],,The Survivor may spend 1 Chi to use the specified Skill.,
close_quarter_master,Close-Quarter Master,Mestre da Curta Distância,"The Survivor can Polearm Melee Actions in their own Zone, no matter the minimum Range.",O Sobrevivente pode usar Ações Corpo a Corpo com Armas de Haste em sua Zona desconsiderando o Alcance mínimo.
collector_[zombie],Collector: [Zombie type],Colecionador: [tipo de Zumbi] ,The Survivor gains double the experience each time he kills a Zombie of the specified type.,O Sobrevivente ganha o dobro de experiência ao matar um Zumbi do tipo indicado.
combat_reflexes,Combat Reflexes,Reflexos de Combate,"Whenever any Zombies spawn within Range 0-1, the Survivor may immediately perform a free Combat Action against them. This Action may eliminate more Zombies than have spawned. Ranged Actions must still be aimed at the Zone where the Zombies spawned. The Survivor may use this Skill once per Zombie card drawn.","Sempre que um Zumbi aparecer em Alcance 0-1, o Sobrevivente pode realizar uma Ação de Combate gratuita contra ele imediatamente. Essa Ação pode eliminar mais Zumbis do que a quantidade que tiver aparecido. Ações de Longo Alcance ainda devem ser direcionadas para a Zona na qual Zumbis apareceram. O Sobrevivente pode usar essa Habilidade uma vez para cada carta de Zumbi comprada. "
corruption_searcher,Corruption Searcher,Escarafunchador da Corrupção,The Survivor can perform Search Actions in Corruption Zones.,O Sobrevivente pode realizar Ações de Procurar em Zonas de Corrupção.
corruption_walker,Corruption Walker,Andarilho da Corrupção,"Once per Turn, the Survivor may perform 1 free Move Action when standing in a Corruption Zone.","Uma vez por Turno, o Sobrevivente pode realizar 1 Ação de Movimento gratuita quando estiver em uma Zona de Corrupção."
damage_2_[action],Damage 2: [Action],Dano 2: [Ação] ,"Weapons of the indicated type (Combat, Magic, Melee, or Ranged) used by the Survivor and having a Damage value of 1 are considered as having a Damage value of 2.","Armas do tipo indicado (Combate, Magia, Corpo a Corpo ou Longo Alcance) usadas pelo Sobrevivente e que têm valor de Dano 1 são tratadas como se tivessem valor de Dano 2."
damage_3_[action],Damage 3: [Action],Dano 3: [Ação] ,"Weapons of the indicated type (Combat, Magic, Melee, or Ranged) used by the Survivor are considered as having a Damage value of 3.","Armas do tipo indicado (Combate, Magia, Corpo a Corpo ou Longo Alcance) usadas pelo Sobrevivente são tratadas como se tivessem valor de Dano 3."
dance_of_death,Dance of Death,Dance of Death,"Starts with Reaper's Scythe. While using the Reaper's Scythe, you have the skill Reaper: Melee.","Começa com a Foice do Ceifador. Enquanto você usar a Foice do Ceifador, você possui a habilidade Letal: Corpo a Corpo"
death_or_glory,Death or Glory,Death or Glory,"You can use this skill once during each of your Turns, for free. Choose another Survivor in your Zone to suffer 1 Wound. You perform 1 free Action, then the other Survivor may immediately perform 1 free Action.","Você pode usar esta Habilidade grátis uma vez em cada um dia Turnos. Escolha outro sobrevivente na sua Zona para sofrer 1 Ferimento. Você realiza 1 Ação grátis, depois, o outro sobrevivente pode realizar 1 Ação grátis imediatamente."
destiny,Destiny,Destino,"The Survivor can use this Skill once per Turn when he reveals an Equipment card he drew. You can ignore and discard that card, then draw another Equipment card.","O Sobrevivente pode usar esta Habilidade uma vez por Turno ao revelar uma carta de Equipamento que comprou. Ele pode ignorar e descartar essa carta. Depois, ele compra outra carta de Equipamento do mesmo baralho."
double_casting,Double Casting,Duplamente Encantador,"Every time the Survivor performs an Enchantment Action, they can select an extra target for the same Enchantment, for free. First, designate both targets. Then, resolve one after the other, in any order.","Sempre que um Sobrevivente realizar uma Ação de Encantamento, ele pode selecionar gratuitamente um alvo extra para o mesmo Encantamento. Primeiro, ele escolhe os dois alvos, e depois, resolve uma aplicação após a outra, na ordem que preferir. "
dual_expert,Dual Expert,Especialista Duplo,The Survivor has a free Combat Action as long as they have Dual weapons equipped. This Action can be only used with the Dual equipped weapons.,O Sobrevivente ganha uma Ação de Combate gratuita desde que esteja equipado com armas Duplas. Essa Ação pode ser usada apenas com as armas Duplas equipadas. 
escalation_[action],Escalation: [Action],Reação em Cadeia: [Ação],"The Survivor gains 1 extra die to roll for subsequent Actions of the specified type (Combat, Magic, Melee, or Ranged). The bonus is cumulative and applies until the end of the Survivor’s Turn. The bonus is lost whenever the Survivor performs another kind of Action. EXAMPLE: A Survivor with the Escalation: Ranged Skill spends their first Action performing a Ranged Action with a Long Bow (Dice 1). Their second Action is also spent for a Ranged Action, adding an additional die thanks to the Escalation Skill (Dice 2). The third Action is spent for a Move Action. The Escalation bonus is lost.","O Sobrevivente ganha 1 dado extra para rolar em Ações consecutivas do tipo especificado (Combate, Magia, Corpo a Corpo ou Longo Alcance). O bônus é cumulativo e se aplica até o final do Turno do Sobrevivente. Esse bônus acaba se o obrevivente realizar outro tipo de Ação. EXEMPLO: Um Sobrevivente com a Habilidade Reação em Cadeia: Longo Alcance gasta sua 1ª Ação para realizar uma Ação de Longo Alcance com um Arco Longo (1 Dado). A 2ª Ação dele também é gasta com uma Ação de Longo Alcance, o que adiciona um dado graças à Habilidade Reação em Cadeia (2 Dados). A 3ª Ação é gasta em uma Ação de Movimento. O bônus da Reação em Cadeia termina. "
flash_of_the_blade,Flash of the Blade,Flash of the Blade,Starts with Maiden Japan. Deal 2 damage to any Zombie at Range 1 and in Line of Sight for each 6 rolled on an Attack with Maiden Japan (ignore Target Priority).,Começa com a Maiden Japan. Cause 2 de Dabi a qualquer Zumbi em Alcance 1 e no Campo de Visão para cada 6 rolado em um Ataque com a Maiden Japan (ignore a Prioridade de Alvo).
free_reload,Free reload,Recarga Gratuita / Recarga Grátis,"The Survivor reloads reloadable weapons (Triple Crossbow, for example) for free.","O Sobrevivente recarrega suas armas recarregáveis (Balestra Composta, por exemplo) gratuitamente."
freeze_[action],Freeze: [Action],Congelar: [Ação] ,"Whenever the Survivor performs an Action of the indicated type (Combat, Magic, Melee, or Ranged), place a Freeze token (P. 33) in the targeted Zone (whether the Action succeeds or not).","Sempre que o Sobrevivente realizar uma Ação do tipo indicado (Combate, Magia, Corpo a Corpo ou Longo Alcance), coloque uma ficha de Congelamento (página 33) na Zona alvo (sendo a Ação bem-sucedida ou não). "
frenzy_[action],Frenzy: [Action],Furor: [Ação],"The Survivor gains +1 die per Wound with the specified action (Combat, Magic, Melee, or Ranged). Dual Combat Actions gain a die each, for a total of +2 dice per Wound.","O Sobrevivente ganha +1 dado por Ferimento com a ação especificada (Combate, Magia, Corpo a Corpo ou Longo Alcance). Ações de Combate Duplas ganham mais um dado cada, para um total de +2 dados por Ferimento."
ghost_sight,Ghost Sight,Visão de Fantasma,"The Survivor can trace Lines of Sight through obstacles, like doors, walls, and Battlement Walkways, etc. Their Line of Sight is also unlimited through Buildings.","O Sobrevivente pode estender seu Campo de Visão através de obstáculos, como portas, paredes, etc. O Campo de Visão dele também é ilimitado através de construções."
giant,Giant,Gigante,"The Survivor may trace Lines Of Sight over buildings and Hedges to Zones beyond them (but not into a building through walls or closed doors). Likewise, Actors in these Zones can trace Lines Of Sight to the Survivor. The Survivor can use this special Line of Sight to perform Attacks (and vice-versa).",
guards_[skill],Guards: [Skill],Guardas: [Habilidade] ,This Skill is used whenever the Survivor performs a Guard Action. The designated Guards benefit from the specified Skill for the corresponding Action.,Esta Habilidade é usada sempre que o Sobrevivente realiza uma Ação da Guarda. Os Guardas designados se beneficiam da Habilidade especificada para a Ação correspondente.
guards_evade,Guards: Evade,Guardas: Esquivar,This Skill may be used whenever the Survivor performs a Move Guard Action. The Guards ignore Zombies in their starting Zone when performing the ensuing Move Action.,Esta Habilidade pode ser usada sempre que o Sobrevivente executar uma Ação de Movimento da Guarda. Os Guardas ignoram os Zumbis em sua Zona inicial ao realizar a Ação de Movimento resultante. 
guards_push,Guards: Push,Guardas: Empurrar,"This Skill may be used whenever the Survivor performs a Guard Action. Instead of resolving the chosen Action, select a Zone at Range 1 from the designated Guard(s) within Line of Sight of them. All Zombies standing in the designated Guard(s)’ Zone are pushed to the selected Zone. This is not a Move. NOTE: Zombies can be pushed from Battlement Walkways to street Zones that way!","Esta Habilidade pode ser usada sempre que o Sobrevivente executar uma Ação da Guarda. Em vez de resolver a Ação escolhida, selecione uma Zona em Alcance 1 do(s) Guarda(s) designado(s) dentro do Campo de Visão dele(s). Todos os Zumbis que estiverem na Zona do(s) Guarda(s) designado(s) serão empurrados para a Zona selecionada. Isso não é considerado uma Ação de Movimento. OBSERVAÇÃO: os Zumbis podem ser empurrados de Passadiços de Ameias para Zonas externas desta forma!"
guards_warden_killers,Guards: Warden Killers,,This Skill may be used whenever the Survivor performs a Melee or Ranged Guard Action. Guards consider Warden Brutes as standard Brutes for the ensuing Melee or Ranged Action. They can kill Zombies without anyone spending Chi!,
heaven_can_wait,Heaven Can Wait,Heaven Can Wait,"You may spend 1 Action to place the Sarcophagus card in your Zone. When eliminated, you are placed on the Sarcophagus Zone with 2 Health and the card is removed from the game. Then, eliminate all Zombies (except Abominations) from that Zone.","Você pode gastar 1 Ação para colocar a carta de Sarcófago na sua Zona. Quando você for eliminado, você é colocado na Zona do Sarcófago com 2 de Vida e a carta é removida de jogo. depois, elimine todos os Zumbis (exceto Abominações) dessa Zona."
hit_run,Hit & run,Bate & Corre,"The Survivor can use this Skill for free just after they resolve a Magic, Melee, or Ranged Action resulting in a least 1 Zombie being eliminated. They can then resolve a free Move Action. The Survivor does not spend extra Actions to perform this free Move Action if Zombies are standing in their Zone.","O Sobrevivente pode usar esta Habilidade gratuitamente logo após resolver uma Ação de Magia, Corpo a Corpo ou de Longo Alcance que tenha resultado na morte de pelo menos 1 Zumbi. Em seguida, ele pode resolver uma Ação de Movimento gratuita. O Sobrevivente não gasta Ações extras para realizar essa Ação de Movimento gratuita se houver Zumbis na Zona dele."
hoard,Hoard,Acumulador,The Survivor can carry up to 2 extra Equipment cards. They are placed near their Dashboard and are considered to be in their Backpack.,O Sobrevivente pode carregar até 2 cartas adicionais de Equipamento. Elas são colocadas perto de seu Painel e são tratadas como se estivessem em sua Mochila.
hold_your_nose,Hold your nose,Raspa do Tacho / Prenda a Respiração,"The Survivor draws an Equipment card whenever the last Zombie standing in their Zone is eliminated (by the Survivor themselves, another Survivor, or any game effect). This Skill works in any Zone, even a street Zone, and can be used multiple times in the same Turn. This is NOT considered a Search Action.","O Sobrevivente compra uma carta de Equipamento sempre que o último Zumbi em sua Zona for eliminado (por ele mesmo, outro Sobrevivente ou algum efeito de jogo). Essa Habilidade funciona em qualquer Zona, até mesmo em uma Zona externa, e pode ser usada múltiplas vezes no mesmo Turno. Isso NÃO é considerado uma Ação de Procurar. "
ice_walker,Ice Walker,,"Once per Turn, the Survivor may perform 1 free Move Action when standing in an Ice Zone.",
ice_warrior,Ice Warrior,,The Survivor can perform Combat Actions while standing in Ice Zones.,
improvised_weapon_[action],Improvised Weapon: [Action],Arma Improvisada: [Ação],"The Survivor can use this Skill for free once during each of their Turns. They perform a free specified action (Combat, Melee, or Ranged) using Range: 0, Dice: 2, Accuracy: 4+, Damage: 1 for Melee and Range: 1-1, Dice: 2, Accuracy: 4+, Damage: 1 for Ranged. Modifiers (other Skills, for example) apply.","O Sobrevivente pode usar esta Habilidade gratuitamente uma vez em cada um de seus Turnos. Ele realiza um Ataque (Combate, Corpo a Corpo ou Longo Alcance) gratuito usando Alcance: 0, Dados: 2, Precisão: 4+, Dano: 1 para Corpo a Corpo e Alcance: 1-1, Dados: 2, Precisão: 4+, Dano: 1 para Longo Alcance. Modificadores (como outras Habilidades, por exemplo) são aplicados. "
inner_god,Inner God,,The Survivor does not lose a Chi point when a God-Eater Abomination card is drawn.,
ironclad_[zombie],Ironclad: [Zombie type],Encouraçado: [tipo de Zumbi] ,"The Survivor ignores all Wounds coming from Zombies having the indicated keyword in their name. Ironclad: Walker works with any Walker, for example.","O Sobrevivente ignora todos os Ferimentos causados por Zumbis que tenham a palavra-chave indicada em seu nome. Encouraçado: Lerdo funciona com qualquer Lerdo, por exemplo."
iron_hide,Iron hide,Pele de Ferro,"The Survivor can make Armor rolls with a 5+ Armor value, even when they are not wearing armor in their Body slot. When wearing armor, the Survivor adds 1 to the result of each die they roll for Armor rolls. The maximum result is always 6 and 1 is always a failure.","O Sobrevivente pode fazer rolagens de Armadura com valor 5+ de Armadura, mesmo se não estiver usando uma Armadura no espaço de Corpo. Quando estiver usando uma Armadura, o Sobrevivente adiciona 1 ao resultado de cada dado em rolagens de Armadura. O resultado máximo é sempre 6, e 1 é sempre uma falha."
iron_rain,Iron rain,Chuva de Ferro,"When resolving a Ranged Action, the Survivor may substitute the Dice number of the Ranged weapon(s) they use with the number of Zombies standing in the targeted Zone. Skills affecting the dice value, like +1 Die: Ranged, still apply.","Ao resolver uma Ação de Longo Alcance, o Sobrevivente pode substituir o número de Dados da(s) arma(s) de Longo Alcance que estiver usando pelo número de Zumbis que estão na Zona alvejada. Habilidades que afetam os valores dos dados, como +1 Dado: Longo Alcance, continuam valendo."
is_that_all_youve_got,Is that all you’ve got?,Isso é Tudo?,This Skill can be used any time the Survivor is about to endure Wounds. Negate 1 Wound for each Equipment card they discard from the their inventory.,Esta Habilidade pode ser usada a qualquer momento em que o Sobrevivente for receber algum Ferimento. Ignore 1 Ferimento para cada carta de Equipamento que você descartar do inventário do Sobrevivente. 
jump,Jump,Salto / Pulo,"The Survivor can use this Skill once during each of their Turns. The Survivor spends 1 Action. They move 2 Zones into a Zone on which they have a Line of Sight. Ignore everything in the intervening Zone, except walls and closed doors. This Skill may be used to jump onto a Battlement Walkway in which the Survivor has a Line of Sight. Movement related Skills (like +1 Zone per Move or Slippery) are ignored, but Movement penalties (like having Zombies in the starting Zone) apply.","O Sobrevivente pode usar esta Habilidade uma vez em cada um de seus Turnos. O Sobrevivente gasta 1 Ação: e se move 2 Zonas até uma Zona na qual tenha um Campo de Visão. Ignore tudo que estiver na Zona intermediária, exceto paredes e portas fechadas. Esta Habilidade pode ser usada para saltar para um Passadiço de Ameia no qual o Sobrevivente tenha Campo de Visão. Habilidades relacionadas a Movimentação (como +1 Zona por Movimento ou Liso) são ignoradas, mas penalidades de Movimentação (como Zumbis na Zona inicial) se aplicam. "
lifesaver,Lifesaver,Salva-vidas,"The Survivor can use this Skill for free once during each of their Turns. Select a Zone containing at least 1 Zombie and at least 1 Survivor at Range 1 from the Survivor. Both Zones need to share a Line of Sight. Choose Survivors in the selected Zone to be dragged to the Survivor’s Zone without penalty. This is not a Move Action. A Survivor may decline the rescue and stay in the selected Zone if their controller chooses. NOTE: Contrary to previous Zombicide versions, Lifesaver can now be used without having a clear path between both Zones (to lift Survivors on top of Battlement Walkways, for example…).","O Sobrevivente pode usar esta Habilidade uma vez em cada um de seus Turnos, gratuitamente. Selecione uma Zona com, pelo menos, 1 Zumbi e 1 Sobrevivente em Alcance 1 de seu Sobrevivente. As Zonas devem compartilhar um Campo de Visão. Escolha Sobreviventes na Zona selecionada para serem levados para a Zona do seu Sobrevivente sem penalidades. Isso não é considerado uma Ação de Movimento. Um Sobrevivente pode recusar o resgate e optar por permanecer na Zona escolhida se quem o controla assim desejar. OBSERVAÇÃO: diferentemente das versões anteriores de Zombicide, Salva-Vidas agora pode ser usada sem que haja um caminho livre entre as duas Zonas (para puxar Sobreviventes para cima de Passadiços de Ameias, por exemplo)."
lock_it_down,Lock it down,Trancar,"At the cost of one Action, the Survivor can close an open door in his Zone. Opening or destroying it again later does not trigger a new Zombie Spawn.","Pelo custo de uma Ação, o Sobrevivente pode fechar uma porta aberta em sua Zona. Abri-la ou destruí-la mais tarde não resulta em uma nova Entrada de Zumbis."
loud,Loud,Barulhento,"Once during each of his Turns, the Survivor can make a huge amount of noise! Until this Survivor’s next Turn, the Zone he used this Skill in is considered to have the highest number of Noise tokens on the entire board. If different Survivors have this Skill, only the last one who used it applies the effects.","Uma vez em cada um dos seus Turnos, o Sobrevivente pode fazer uma quantidade absurda de barulho! Até o próximo Turno desse Sobrevivente, a Zona em que ele usou esta Habilidade é considerada como a que tem o maior número de fichas de Barulho no tabuleiro. Se mais de um Sobrevivente possui esta Habilidade, apenas o último que a usou aplica os seus efeitos."
low_profile,Low profile,Esguio / Escondido,The Survivor can’t get hit by Friendly Fire (Cauldron and Dragon Fire still apply). Ignore them when casting a Combat spell or shooting at the Zone they’re standing in.,O Sobrevivente não é atingido por Fogo Amigo (Caldeirão e Fogo de Dragão ainda o afetam). Ignore-o ao lançar um Feitiço de Combate ou disparar contra a Zona na qual ele estiver.
lucky,Lucky,Sorte / Sortudo,"For each Action (or Armor roll) the Survivor takes, all the dice may be re-rolled an additional time. The new result replaces the previous one.","Em cada Ação (ou rolagem de Armadura) que o Sobrevivente realiza, todos os dados podem ser rerrolados mais uma vez. O novo resultado é o que vale. "
mana_rain,Mana rain,Chuva de Mana,"When resolving a Magic Action, the Survivor may substitute the Dice number of the Combat spell(s) they use with the number of Zombies standing in the targeted Zone. Skills affecting the dice value, like +1 Die: Magic, still apply.","Ao resolver uma Ação de Magia, o Sobrevivente pode substituir o número de Dados do(s) Feitiço(s) de Combate que estiver usando pelo número de Zumbis que estão na Zona alvo. Habilidades que afetam os valores dos dados, como +1 Dado: Magia, continuam valendo."
marksman,Marksman,Atirador,The Survivor may freely choose the targets of all their Magic and Ranged Actions. Friendly Fire is ignored.,O Sobrevivente pode escolher livremente os alvos de todas as suas Ações de Magia e de Longo Alcance. Fogo Amigo é ignorado.
matching_set,Matching set,Dupla Letal!,"When the Survivor performs a Search Action and draws an Equipment card with the Dual symbol, they can immediately take a second card of the same type from the Equipment deck. Shuffle the deck afterward.","Quando um Sobrevivente realiza uma Ação de Procurar e compra uma carta de Equipamento com o símbolo de Dupla, ele pode pegar imediatamente uma segunda carta do mesmo tipo do baralho de Equipamento. Embaralhe o baralho em seguida. "
