tags,tags_en,tags_pt
starts_with_[equipment],Starts with a [Equipment],Começa com um(a) [Equipamento] 
swordmaster,Swordmaster,Mestre Espadachim
tactician,Tactician,Estrategista
taunt,Taunt,Provocação / Provocar
throw,Throw,
tough,Tough,Durão
trasform_werewolf,Transform into Lotas (Werewolf),Transforma em Lotas (Lobisomem)
transmutation,Transmutation,Transmutação
trick_shot,Trick shot,Agilidade
turtle_bonus_[skill],Turtle Bonus [Skill],Bônus de Tartaruga: [Habilidade]
turtle_focus_plus_2_dice_roll_combat,Turtle Focus: +2 to Dice Roll: Combat,Foco de Tartaruga: +2 no Resultado: Combate
turtle_focus_plus_3_dice_combat,Turtle Focus:+3 Dice: Combat,Foco de Tartaruga: +3 Dados: Combate
turtle_focus_damage_3_combat,Turtle Focus: Damage 3: Combat,Foco de Tartaruga: Dano 3: Combate
turtle_power_2_for_1,Turtle Power: 2 for 1,Poder de Tartaruga: 2 por 1
vault_picker,Vault Picker,Trapeiro de Cripta
wall_climber,Wall Climber,Escalador de Muralhas
warden_killers,Warden Killers,
zombie_link,Zombie link,Conexão Zumbi
