id,name,set,body,blue1,tag_blue1,blue2,tag_blue2,yellow,orange1,tag_orange1,orange2,tag_orange2,red1,tag_red1,red2,tag_red2,red3,tag_red3,image
evil_troy,Evil Troy,Huntsman Pack,hand_crossbow,free_reload,,,,plus_1_action,plus_1_roll_[action],combat,zombie_link,,plus_1_free_[action]_action,melee,rotten,,spellbook,,https://static.wikia.nocookie.net/zombicide/images/c/c9/EvilTroy.png/
falstaff,Falstaff,Huntsman Pack,great_sword,bloodlust_[action],melee,,,plus_1_action,plus_1_roll_[action],melee,reaper_[action],melee,plus_1_free_[action]_action,combat,regeneration,,super_strength,,https://static.wikia.nocookie.net/zombicide/images/f/f7/Falstaff.png
gilbert,Gilbert,Huntsman Pack,shield,iron_hide,,,,plus_1_action,bloodlust_[action],melee,hit_run,,plus_1_free_[action]_action,melee,plus_1_roll_[action],melee,barbarian,,https://static.wikia.nocookie.net/zombicide/images/e/eb/Gilbert.png
hitch,Hitch,Huntsman Pack,dagger,slippery,,,,plus_1_action,plus_1_free_[action]_action,melee,plus_1_free_[action]_action,move,plus_1_free_[action]_action,melee,plus_1_roll_[action],melee,taunt,,https://static.wikia.nocookie.net/zombicide/images/8/8c/Hitch.png
james,James,Huntsman Pack,torch,search_plus_1_card,,,,plus_1_action,plus_1_max_range,,spellcaster,,plus_1_roll_[action],combat,reaper_[action],combat,spellbook,,https://static.wikia.nocookie.net/zombicide/images/d/d2/JamesFantasy.png
lady_faye,Lady Faye,Huntsman Pack,apples,plus_1_free_[action]_action,move,,,plus_1_action,plus_1_free_[action]_action,melee,lucky,,plus_1_damage_[action],melee,iron_hide,,reaper_[action],combat,https://static.wikia.nocookie.net/zombicide/images/3/31/LadyFaye.png
lucas,Lucas,Huntsman Pack,short_sword,born_leader,,,,plus_1_action,plus_1_roll_[action],melee,reaper_[action],combat,plus_1_free_[action]_action,combat,ironclad_[zombie],walker,spellcaster,,https://static.wikia.nocookie.net/zombicide/images/a/a6/Lucas.png
montalban,Montalban,Huntsman Pack,shield,hit_run,,,,plus_1_action,plus_1_free_[action]_action,move,plus_1_free_[action]_action,melee,plus_1_free_[action]_action,combat,plus_1_free_[action]_action,move,iron_hide,,https://static.wikia.nocookie.net/zombicide/images/1/17/Montalban.png
morgan,Morgan,Huntsman Pack,lightning_bolt,plus_1_die_[action],combat,,,plus_1_action,plus_1_die_[action],magic,plus_1_die_[action],melee,roll_6_plus_1_die_[action],magic,roll_6_plus_1_die_[action],melee,spellbook,,https://static.wikia.nocookie.net/zombicide/images/b/b5/Morgan.png
mortimer,Mortimer,Huntsman Pack,great_sword,starts_with_[equipment],great_sword,,,plus_1_action,plus_1_free_[action]_action,combat,born_leader,,plus_1_damage_[action],melee,plus_1_roll_[action],combat,charge,,https://static.wikia.nocookie.net/zombicide/images/3/39/Mortimer.png
paul,Paul,Huntsman Pack,axe,plus_1_die_[action],combat,,,plus_1_action,plus_1_roll_[action],melee,plus_1_roll_[action],ranged,plus_1_free_[action]_action,melee,plus_1_free_[action]_action,move,plus_1_free_[action]_action,ranged,https://static.wikia.nocookie.net/zombicide/images/e/e0/PaulFantasy.png
piper,Piper,Huntsman Pack,dagger,starts_with_[equipment],dagger,,,plus_1_action,plus_1_die_[action],melee,plus_1_free_[action]_action,combat,plus_1_free_[action]_action,move,plus_1_roll_[action],combat,hit_run,,https://static.wikia.nocookie.net/zombicide/images/d/d4/Piper.png
troy,Troy,Huntsman Pack,hand_crossbow,free_reload,,,,plus_1_action,plus_1_roll_[action],combat,iron_hide,,plus_1_free_[action]_action,melee,plus_1_free_[action]_action,ranged,spellbook,,https://static.wikia.nocookie.net/zombicide/images/2/2c/Troy.png
william,William,Huntsman Pack,great_sword,tough,,,,plus_1_action,plus_1_free_[action]_action,combat,lifesaver,,plus_1_free_[action]_action,combat,bloodlust_[action],melee,hit_run,,https://static.wikia.nocookie.net/zombicide/images/0/0b/William.png
beauregard,Beauregard,Knight Pack,shield,collector_[zombie],walker,,,plus_1_action,plus_1_free_[action]_action,combat,reaper_[action],combat,bloodlust_[action],combat,ironclad_[zombie],walker,slippery,,https://static.wikia.nocookie.net/zombicide/images/8/8d/Beauregard.png
chauncey,Chauncey,Knight Pack,bastard_sword,swordmaster,,,,plus_1_action,plus_1_roll_[action],melee,frenzy_[action],melee,plus_1_die_[action],melee,plus_1_free_[action]_action,combat,roll_6_plus_1_die_[action],melee,https://static.wikia.nocookie.net/zombicide/images/1/13/Chauncey.png
dr._stormcrow,Dr. Stormcrow,Knight Pack,dagger,hold_your_nose,,,,plus_1_action,plus_1_free_[action]_action,combat,zombie_link,,plus_1_die_[action],combat,plus_1_free_[action]_action,combat,plus_1_roll_[action],combat,https://static.wikia.nocookie.net/zombicide/images/9/95/DoctorStormcrow.png
gowan,Gowan,Knight Pack,bastard_sword,regeneration,,,,plus_1_action,plus_1_free_[action]_action,combat,plus_1_roll_[action],melee,ironclad_[zombie],,,,,,https://static.wikia.nocookie.net/zombicide/images/7/7a/Gowan.png
gregoire,Gregoire,Knight Pack,crossbow,ironclad_[zombie],wolfz,,,plus_1_action,plus_1_damage_[action],melee,plus_1_roll_[action],melee,plus_1_free_[action]_action,combat,bloodlust_[action],melee,regeneration,,https://static.wikia.nocookie.net/zombicide/images/c/c4/Gregoire.png
scowl,Scowl,Knight Pack,axe,plus_1_roll_[action],melee,,,plus_1_action,plus_1_free_[action]_action,melee,hit_run,,plus_1_die_[action],combat,plus_1_free_[action]_action,combat,jump,,https://static.wikia.nocookie.net/zombicide/images/d/d4/Scowl.png
grom,Grom,Grom and Thalia Box,great_sword,barbarian,,,,plus_1_action,plus_1_damage_[action],melee,shove,,plus_1_free_[action]_action,melee,plus_1_roll_[action],melee,bloodlust_[action],melee,https://static.wikia.nocookie.net/zombicide/images/3/35/Grom.png
thalia,Thalia,Grom and Thalia Box,dagger,bloodlust_[action],melee,,,plus_1_action,plus_1_roll_[action],melee,plus_1_free_[action]_action,melee,plus_1_die_[action],combat,plus_1_free_[action]_action,combat,shove,,https://static.wikia.nocookie.net/zombicide/images/4/43/Thalia.png
culnar,Cul'Nar,Special Guest Adrian Smith,shield,zombie_link,,,,plus_1_action,plus_1_free_[action]_action,melee,shove,,plus_1_free_[action]_action,combat,plus_1_roll_[action],melee,bloodlust_[action],melee,https://static.wikia.nocookie.net/zombicide/images/6/65/CulNar.png
gurbak,Gurbak,Special Guest Adrian Smith,earthquake_hammer,taunt,,,,plus_1_action,plus_1_free_[action]_action,melee,hit_run,,plus_1_free_[action]_action,melee,reaper_[action],combat,super_strength,,https://static.wikia.nocookie.net/zombicide/images/d/d6/Gurbak.png
jorvak,Jorvak,Special Guest Adrian Smith,ironclad:_zombie_wolfz,ironclad_[zombie],wolfz,,,plus_1_action,plus_1_free_[action]_action,melee,plus_1_free_[action]_action,move,plus_1_free_[action]_action,combat,plus_1_roll_[action],melee,reaper_[action],combat,https://static.wikia.nocookie.net/zombicide/images/d/d5/Jorvak.png
shakeel,Sha'Keel,Special Guest Adrian Smith,dagger,plus_1_free_[action]_action,move,,,plus_1_action,plus_1_free_[action]_action,melee,swordmaster,,plus_1_die_[action],combat,plus_1_free_[action]_action,combat,plus_1_roll_[action],combat,https://static.wikia.nocookie.net/zombicide/images/1/1e/ShaKeel.png
black_currant,Black Currant,Special Guest Carl Critchlow,great_sword,plus_1_damage_[action],melee,,,plus_1_action,plus_1_roll_[action],melee,shove,,plus_1_free_[action]_action,combat,iron_hide,,reaper_[action],melee,https://static.wikia.nocookie.net/zombicide/images/f/f6/BlackCurrant.png
persephone,Persephone,Special Guest Carl Critchlow,bastard_sword,plus_1_roll_[action],melee,,,plus_1_action,plus_1_free_[action]_action,melee,bloodlust_[action],combat,plus_1_die_[action],combat,plus_1_free_[action]_action,melee,roll_6_plus_1_die_[action],melee,https://static.wikia.nocookie.net/zombicide/images/b/b2/Persephone.png
thrud,Thrud,Special Guest Carl Critchlow,axe,barbarian,,,,plus_1_action,bloodlust_[action],melee,super_strength,,plus_1_free_[action]_action,melee,plus_1_roll_[action],melee,shove,,https://static.wikia.nocookie.net/zombicide/images/4/4a/Thrud.png
brickborn,Brickborn,Special Guest Edouard Guiton,hammer,plus_1_damage_[action],melee,,,plus_1_action,plus_1_free_[action]_action,magic,shove,,plus_1_die_[action],magic,plus_1_die_[action],melee,plus_1_free_[action]_action,melee,https://static.wikia.nocookie.net/zombicide/images/1/1c/Brickborn.png
hewelin,Hewelin,Special Guest Edouard Guiton,sword,swordmaster,,,,plus_1_action,plus_1_die_[action],melee,born_leader,,plus_1_roll_[action],melee,charge,,roll_6_plus_1_die_[action],melee,https://static.wikia.nocookie.net/zombicide/images/3/3d/Hewelin.png
kaila,Kaila,Special Guest Edouard Guiton,dagger,reaper_[action],melee,,,plus_1_action,plus_1_die_[action],melee,lucky,,plus_1_free_[action]_action,combat,plus_1_free_[action]_action,magic,frenzy_[action],combat,https://static.wikia.nocookie.net/zombicide/images/d/d8/Kalia.png
shalheira,Shalheira,Special Guest Edouard Guiton,longbow,starts_with_[equipment],longbow,,,plus_1_action,plus_1_die_[action],ranged,marksman,,plus_1_free_[action]_action,combat,plus_1_roll_[action],ranged,hit_run,,https://static.wikia.nocookie.net/zombicide/images/a/ac/Shalheira.png
celia_la_santa,Celia La Santa,Special Guest Gipi,healing,starts_with_[equipment],healing,,,plus_1_action,plus_1_free_[action]_action,melee,spellcaster,,plus_1_die_[action],combat,plus_1_free_[action]_action,combat,lifesaver,,https://static.wikia.nocookie.net/zombicide/images/5/5b/CeliaLaSanta.png
donna_carlotta,Donna Carlotta,Special Guest Gipi,hammer,plus_1_damage_[action],melee,,,plus_1_action,plus_1_die_[action],melee,bloodlust_[action],melee,plus_1_die_[action],combat,plus_1_free_[action]_action,combat,barbarian,,https://static.wikia.nocookie.net/zombicide/images/e/e5/DonnaCarlotta.png
pipino,Pipino,Special Guest Gipi,great_sword,frenzy_[action],combat,,,plus_1_action,iron_hide,,super_strength,,plus_1_free_[action]_action,melee,is_that_all_youve_got,,zombie_link,,https://static.wikia.nocookie.net/zombicide/images/3/3d/Pipino.png
the_little_prince,The Little Prince,Special Guest Gipi,sword,hit_run,,,,plus_1_action,plus_1_free_[action]_action,move,taunt,,plus_1_damage_[action],melee,plus_1_free_[action]_action,combat,ironclad_[zombie],abomination,https://static.wikia.nocookie.net/zombicide/images/4/4d/TheLittlePrince.png
cyrine,Cyrine,Special Guest John Howe,dragon_aura,starts_with_[equipment],dragon_aura,,,plus_1_action,plus_1_free_[action]_action,enchantment,plus_1_free_[action]_action,magic,plus_1_die_[action],magic,spellbook,,spellcaster,,https://static.wikia.nocookie.net/zombicide/images/1/14/Cyrine.png
dravog,Dravog,Special Guest John Howe,great_sword,starts_with_[equipment],great_sword,,,plus_1_action,plus_1_free_[action]_action,melee,blitz,,plus_1_free_[action]_action,combat,plus_1_roll_[action],melee,regeneration,,https://static.wikia.nocookie.net/zombicide/images/3/37/Dravog.png
gorvin,Gorvin,Special Guest John Howe,axe,starts_with_[equipment],axe,,,plus_1_action,plus_1_free_[action]_action,melee,bloodlust_[action],melee,plus_1_free_[action]_action,combat,plus_1_free_[action]_action,move,plus_1_roll_[action],melee,https://static.wikia.nocookie.net/zombicide/images/c/c9/Gorvin.png
hildir,Hildir,Special Guest John Howe,hell_goat,starts_with_[equipment],hell_goat,,,plus_1_action,plus_1_die_[action],magic,rotten,,plus_1_free_[action]_action,combat,spellcaster,,zombie_link,,https://static.wikia.nocookie.net/zombicide/images/c/c6/Hildir.png
johrgrund,Johrgrund,Special Guest Jovem Nerd,dagger,hit_run,,,,plus_1_action,plus_1_die_[action],melee,charge,,plus_1_free_[action]_action,combat,frenzy_[action],combat,reaper_[action],combat,https://static.wikia.nocookie.net/zombicide/images/9/96/Johrgrund.png
korin,Korin,Special Guest Jovem Nerd,shield,starts_with_[equipment],sword,,,plus_1_action,plus_1_free_[action]_action,combat,lifesaver,,plus_1_free_[action]_action,combat,iron_hide,,super_strength,,https://static.wikia.nocookie.net/zombicide/images/8/88/Korin.png
ruff_ghanor,Ruff Ghanor,Special Guest Jovem Nerd,hammer,shove,,,,plus_1_action,plus_1_roll_[action],melee,iron_hide,,plus_1_free_[action]_action,combat,lucky,,reaper_[action],melee,https://static.wikia.nocookie.net/zombicide/images/c/c3/RuffGhanor.png
the_prior,The Prior,Special Guest Jovem Nerd,hammer,plus_1_damage_[action],melee,,,plus_1_action,plus_1_free_[action]_action,enchantment,plus_1_free_[action]_action,melee,plus_1_free_[action]_action,combat,ironclad_[zombie],,lifesaver,,https://static.wikia.nocookie.net/zombicide/images/e/e8/ThePrior.png
dame_ahelissa,Dame Ahelissa,Special Guest Karl Kopinski,sword,lifesaver,,,,plus_1_action,plus_1_free_[action]_action,melee,plus_1_roll_[action],melee,plus_1_free_[action]_action,combat,iron_hide,,reaper_[action],combat,https://static.wikia.nocookie.net/zombicide/images/f/f7/DameAhelissa.png
garuk,Garuk,Special Guest Karl Kopinski,axe,bloodlust_[action],melee,,,plus_1_action,plus_1_roll_[action],melee,barbarian,,plus_1_die_[action],melee,shove,,taunt,,https://static.wikia.nocookie.net/zombicide/images/7/73/Garuk.png
marcus,Marcus,Special Guest Karl Kopinski,invisibility,slippery,,,,plus_1_action,plus_1_free_[action]_action,magic,marksman,,plus_1_die_[action],combat,plus_1_free_[action]_action,move,mana_rain,,https://static.wikia.nocookie.net/zombicide/images/a/a3/Marcus.png
ulfo,Ulfo,Special Guest Karl Kopinski,axe,born_leader,,,,plus_1_action,plus_1_die_[action],combat,plus_1_roll_[action],melee,plus_1_die_[action],combat,plus_1_free_[action]_action,combat,roll_6_plus_1_die_[action],combat,https://static.wikia.nocookie.net/zombicide/images/0/01/Ulfo.png
antha,Antha,Special Guest Marc Simonetti,healing,destiny,,,,plus_1_action,plus_1_die_[action],magic,spellcaster,,plus_1_die_[action],combat,plus_1_free_[action]_action,combat,plus_1_roll_[action],magic,https://static.wikia.nocookie.net/zombicide/images/8/8b/Antha.png
cadence,Cadence,Special Guest Marc Simonetti,longbow,marksman,,,,plus_1_action,plus_1_die_[action],ranged,plus_1_free_[action]_action,ranged,plus_1_die_[action],combat,plus_1_free_[action]_action,combat,plus_1_roll_[action],ranged,https://static.wikia.nocookie.net/zombicide/images/6/63/Cadence.png
lady_grimm,Lady Grimm,Special Guest Marc Simonetti,hammer,shove,,,,plus_1_action,plus_1_free_[action]_action,melee,charge,,plus_1_die_[action],combat,plus_1_free_[action]_action,combat,is_that_all_youve_got,,https://static.wikia.nocookie.net/zombicide/images/0/07/LadyGrimm.png
redcap_rodney,Redcap Rodney,Special Guest Marc Simonetti,axe,plus_1_damage_[action],melee,,,plus_1_action,plus_1_free_[action]_action,melee,reaper_[action],melee,plus_1_free_[action]_action,combat,plus_1_roll_[action],melee,zombie_link,,https://static.wikia.nocookie.net/zombicide/images/a/ac/RedcapRodney.png
merieil,Merieil,Special Guest Naïade,transmutation,plus_1_die_[action],combat,,,plus_1_action,plus_1_free_[action]_action,melee,spellcaster,,iron_rain,,mana_rain,,shove,,https://static.wikia.nocookie.net/zombicide/images/f/fb/Merieil.png
milo,Milo,Special Guest Naïade,speed,plus_1_damage_[action],magic,,,plus_1_action,slippery,,spellcaster,,plus_1_die_[action],magic,plus_1_free_[action]_action,move,hit_run,,https://static.wikia.nocookie.net/zombicide/images/5/5c/Milo.png
ostokar,Ostokar,Special Guest Naïade,speed,zombie_link,,,,plus_1_action,plus_1_free_[action]_action,move,spellcaster,,plus_1_free_[action]_action,combat,plus_1_roll_[action],magic,hit_run,,https://static.wikia.nocookie.net/zombicide/images/a/a8/Ostokar.png
thundergut,Thundergut,Special Guest Naïade,hammer,starts_with_[equipment],hammer,,,plus_1_action,plus_1_die_[action],melee,reaper_[action],melee,plus_1_die_[action],melee,plus_1_free_[action]_action,combat,roll_6_plus_1_die_[action],melee,https://static.wikia.nocookie.net/zombicide/images/9/9a/Thundergut.png
alainon,Alainon,Special Guest Neal Adams,torch,hold_your_nose,,,,plus_1_action,plus_1_free_[action]_action,melee,is_that_all_youve_got,,plus_1_free_[action]_action,combat,plus_1_roll_[action],combat,lucky,,https://static.wikia.nocookie.net/zombicide/images/2/22/Alainon.png
golor,Golor,Special Guest Neal Adams,hammer,starts_with_[equipment],hammer,,,plus_1_action,plus_1_die_[action],combat,plus_1_free_[action]_action,melee,plus_1_damage_[action],melee,plus_1_free_[action]_action,combat,plus_1_roll_[action],melee,https://static.wikia.nocookie.net/zombicide/images/5/57/Golor.png
gronstag,Gronstag,Special Guest Neal Adams,flaming_great_sword,starts_with_[equipment],flaming_great_sword,,,plus_1_action,plus_1_roll_[action],melee,bloodlust_[action],melee,plus_1_damage_[action],melee,plus_1_free_[action]_action,combat,barbarian,,https://static.wikia.nocookie.net/zombicide/images/9/9a/Gronstag.png
yrina,Yrina,Special Guest Neal Adams,sword,jump,,,,plus_1_action,plus_1_free_[action]_action,melee,hit_run,,plus_1_free_[action]_action,combat,plus_1_roll_[action],melee,reaper_[action],combat,https://static.wikia.nocookie.net/zombicide/images/4/42/Yrina.png
arnwal,Arnwal,Special Guest Paolo Parente,sword,jump,,,,plus_1_action,plus_1_free_[action]_action,melee,slippery,,plus_1_free_[action]_action,combat,plus_1_free_[action]_action,move,two_zones_move,,https://static.wikia.nocookie.net/zombicide/images/5/51/Arnwal.png
konrad,Konrad,Special Guest Paolo Parente,shield,swordmaster,,,,plus_1_action,bloodlust_[action],melee,reaper_[action],melee,plus_1_die_[action],combat,plus_1_free_[action]_action,combat,frenzy_[action],combat,https://static.wikia.nocookie.net/zombicide/images/8/81/Konrad.png
sköll,Sköll,Special Guest Paolo Parente,great_sword,regeneration,,,,plus_1_action,reaper_[action],melee,super_strength,,plus_1_free_[action]_action,melee,bloodlust_[action],melee,iron_hide,,https://static.wikia.nocookie.net/zombicide/images/1/15/Skoll.png
undraal,Undraal,Special Guest Paolo Parente,sword,charge,,,,plus_1_action,plus_1_die_[action],melee,born_leader,,plus_1_free_[action]_action,melee,plus_1_roll_[action],melee,lifesaver,,https://static.wikia.nocookie.net/zombicide/images/6/61/Undraal.png
genevieve,Genevieve,Special Guest Paul Bonner,crossbow,plus_1_damage_[action],ranged,,,plus_1_action,plus_1_die_[action],ranged,plus_1_free_[action]_action,ranged,plus_1_die_[action],combat,plus_1_free_[action]_action,combat,plus_1_roll_[action],ranged,https://static.wikia.nocookie.net/zombicide/images/7/76/Genevieve.png
klom,Klom,Special Guest Paul Bonner,axe,barbarian,,,,plus_1_action,plus_1_roll_[action],melee,super_strength,,bloodlust_[action],melee,regeneration,,shove,,https://static.wikia.nocookie.net/zombicide/images/6/64/Klom.png
lord_bazak,Lord Bazak,Special Guest Paul Bonner,great_sword,plus_1_roll_[action],melee,,,plus_1_action,plus_1_free_[action]_action,melee,iron_hide,,bloodlust_[action],melee,roll_6_plus_1_die_[action],melee,shove,,https://static.wikia.nocookie.net/zombicide/images/2/2e/Lord_Bazak.png
mizar,Mizar,Special Guest Paul Bonner,death_strike,plus_1_free_[action]_action,magic,,,plus_1_action,plus_1_free_[action]_action,combat,spellbook,,lucky,,marksman,,spellcaster,,https://static.wikia.nocookie.net/zombicide/images/1/1f/Mizar.png
azure,Azure,Special Guest Stefan Kopinski,longbow,swordmaster,,,,plus_1_action,plus_1_die_[action],combat,plus_1_free_[action]_action,move,plus_1_die_[action],combat,hit_run,,reaper_[action],combat,https://static.wikia.nocookie.net/zombicide/images/c/c0/Azure.png
gaak,Gaak,Special Guest Stefan Kopinski,short_sword,reaper_[action],melee,,,plus_1_action,plus_1_free_[action]_action,move,bloodlust_[action],melee,plus_1_free_[action]_action,combat,hit_run,,rotten,,https://static.wikia.nocookie.net/zombicide/images/f/f0/Gaak.png
the_blackheart,The Blackheart,Special Guest Stefan Kopinski,invisibility,zombie_link,,,,plus_1_action,plus_1_roll_[action],magic,is_that_all_youve_got,,plus_1_free_[action]_action,combat,reaper_[action],combat,spellcaster,,https://static.wikia.nocookie.net/zombicide/images/2/2c/TheBlackheart.png
ysabel,Ysabel,Special Guest Stefan Kopinski,axe,starts_with_[equipment],axe,,,plus_1_action,plus_1_damage_[action],melee,reaper_[action],melee,plus_1_die_[action],combat,plus_1_free_[action]_action,combat,taunt,,https://static.wikia.nocookie.net/zombicide/images/b/be/Ysabel.png
benson,Benson,Benson Box,sword,starts_with_[equipment],sword,,,plus_1_action,plus_1_free_[action]_action,melee,born_leader,,plus_1_damage_[action],sword,lucky,,shove,,https://static.wikia.nocookie.net/zombicide/images/b/bd/Benson.png
homer,Homer,Homer Box,dagger,tactician,,,,plus_1_action,plus_1_die_[action],combat,plus_1_free_[action]_action,move,plus_1_die_[action],combat,plus_1_free_[action]_action,combat,hit_run,,https://static.wikia.nocookie.net/zombicide/images/3/33/Homer.png
willow,Willow,Willow Box,longbow,plus_1_roll_[action],ranged,,,plus_1_action,plus_1_die_[action],ranged,hit_run,,plus_1_die_[action],ranged,plus_1_free_[action]_action,ranged,roll_6_plus_1_die_[action],ranged,https://static.wikia.nocookie.net/zombicide/images/b/b2/Willow.png
bruce,Bruce,Game Night Kit,sword,slippery,,,,plus_1_action,plus_1_free_[action]_action,move,swordmaster,,plus_1_die_[action],combat,plus_1_free_[action]_action,move,lucky,,https://static.wikia.nocookie.net/zombicide/images/1/14/Bruce.png
asim,Asim,Green Horde,curved_dagger,plus_1_roll_[action],magic,,,plus_1_action,plus_1_die_[action],magic,spellbook,,plus_1_die_[action],magic,roll_6_plus_1_die_[action],magic,spellcaster,,https://static.wikia.nocookie.net/zombicide/images/5/5a/Asim.png
berin,Berin,Green Horde,dwarven_axe,shove,,,,plus_1_action,plus_1_die_[action],melee,plus_1_free_[action]_action,melee,plus_1_damage_[action],melee,plus_1_free_[action]_action,combat,bloodlust_[action],melee,https://static.wikia.nocookie.net/zombicide/images/a/ac/Berin.png
johannes,Johannes,Green Horde,crossbow,transmutation,,,,plus_1_action,plus_1_free_[action]_action,ranged,plus_1_roll_[action],ranged,plus_1_free_[action]_action,ranged,plus_1_max_range,,reaper_[action],ranged,https://static.wikia.nocookie.net/zombicide/images/4/4d/Johannes.png
megan,Megan,Green Horde,speed,double_casting,,,,plus_1_action,plus_1_free_[action]_action,melee,spellbook,,plus_1_free_[action]_action,combat,plus_1_roll_[action],magic,plus_1_roll_[action],melee,https://static.wikia.nocookie.net/zombicide/images/e/e5/Megan.png
rolf,Rolf,Green Horde,great_axe,bloodlust_[action],melee,,,plus_1_action,plus_1_free_[action]_action,melee,jump,,plus_1_free_[action]_action,combat,battle_rage,,shove,,https://static.wikia.nocookie.net/zombicide/images/6/66/Rolf.png
seli,Seli,Green Horde,curved_dagger,jump,,,,plus_1_action,plus_1_free_[action]_action,melee,hit_run,,plus_1_free_[action]_action,move,roll_6_plus_1_die_[action],combat,zombie_link,,https://static.wikia.nocookie.net/zombicide/images/0/04/Seli.png
doran,Doran,Friends and Foes,power_wave,plus_1_roll_[action],magic,,,plus_1_action,plus_1_die_[action],magic,spellbook,,plus_1_die_[action],magic,roll_6_plus_1_die_[action],magic,spellcaster,,https://static.wikia.nocookie.net/zombicide/images/4/43/Doran.png
